noted_date,simple_id,room_id,temp,out/in
2018-01-11 00:06:00,16219,Room Admin,32,In
2018-01-11 02:12:00,16187,Room Admin,32,In
2018-01-11 02:44:00,16177,Room Admin,32,In
2018-01-11 02:46:00,16175,Room Admin,32,In
2018-01-11 02:58:00,16168,Room Admin,31,In
2018-01-11 03:06:00,16166,Room Admin,31,In
2018-01-11 03:20:00,16163,Room Admin,31,In
2018-01-11 03:22:00,16162,Room Admin,31,In
2018-01-11 03:31:00,16160,Room Admin,31,In
2018-01-11 03:34:00,16158,Room Admin,30,In
2018-01-11 03:40:00,16156,Room Admin,30,In
2018-01-11 03:44:00,16154,Room Admin,30,In
2018-01-11 03:46:00,16153,Room Admin,30,In
2018-01-11 03:57:00,16150,Room Admin,30,In
2018-01-11 04:02:00,16149,Room Admin,30,In
2018-01-11 04:10:00,16145,Room Admin,30,In
2018-01-11 04:30:00,16141,Room Admin,30,In
2018-01-11 04:34:00,16140,Room Admin,30,In
2018-01-11 04:37:00,16139,Room Admin,30,In
2018-01-11 05:06:00,16134,Room Admin,30,In
2018-01-11 05:46:00,16128,Room Admin,30,In
2018-01-11 06:02:00,16123,Room Admin,30,In
2018-01-11 06:08:00,16122,Room Admin,30,In
2018-01-11 06:13:00,16120,Room Admin,30,In
2018-01-11 06:16:00,16119,Room Admin,30,In
2018-01-11 06:20:00,16118,Room Admin,30,In
2018-01-11 06:22:00,16116,Room Admin,30,In
2018-01-11 06:43:00,16109,Room Admin,30,In
2018-01-11 06:51:00,16108,Room Admin,30,In
2018-01-11 06:53:00,16106,Room Admin,30,In
2018-01-11 06:59:00,16104,Room Admin,30,In
2018-01-11 07:03:00,16102,Room Admin,30,In
2018-01-11 07:07:00,16100,Room Admin,30,In
2018-01-11 07:15:00,16097,Room Admin,30,In
2018-01-11 07:19:00,16095,Room Admin,30,In
2018-01-11 07:22:00,16093,Room Admin,30,In
2018-01-11 07:25:00,16092,Room Admin,30,In
2018-01-11 07:29:00,16088,Room Admin,30,In
2018-01-11 07:31:00,16086,Room Admin,30,In
2018-01-11 07:37:00,16083,Room Admin,30,In
2018-01-11 07:39:00,16082,Room Admin,30,In
2018-01-11 07:46:00,16080,Room Admin,30,In
2018-01-11 07:48:00,16078,Room Admin,30,In
2018-01-11 07:53:00,16075,Room Admin,30,In
2018-01-11 07:55:00,16073,Room Admin,30,In
2018-01-11 07:59:00,16072,Room Admin,30,In
2018-01-11 08:01:00,16070,Room Admin,30,In
2018-01-11 08:03:00,16068,Room Admin,29,In
2018-01-11 08:16:00,16064,Room Admin,30,In
2018-01-11 08:29:00,16059,Room Admin,30,In
2018-01-11 08:32:00,16058,Room Admin,30,In
2018-01-11 08:36:00,16057,Room Admin,30,In
2018-01-11 08:39:00,16055,Room Admin,30,In
2018-01-11 09:02:00,16049,Room Admin,30,In
2018-01-11 09:32:00,16048,Room Admin,30,In
2018-01-11 09:38:00,16047,Room Admin,30,In
2018-01-11 09:49:00,16044,Room Admin,30,In
2018-01-11 10:17:00,16031,Room Admin,30,In
2018-01-11 10:24:00,16027,Room Admin,30,In
2018-01-11 11:50:00,15992,Room Admin,30,In
2018-01-11 12:11:00,15984,Room Admin,29,In
2018-01-11 12:20:00,15980,Room Admin,30,In
2018-01-11 12:23:00,15978,Room Admin,29,In
2018-01-11 12:25:00,15976,Room Admin,29,In
2018-01-11 12:28:00,15975,Room Admin,29,In
2018-01-11 12:32:00,15973,Room Admin,29,In
2018-01-11 12:46:00,15969,Room Admin,29,In
2018-01-11 12:50:00,15968,Room Admin,29,In
2018-01-11 12:54:00,15966,Room Admin,29,In
2018-01-11 12:56:00,15964,Room Admin,29,In
2018-01-11 13:02:00,15961,Room Admin,29,In
2018-01-11 13:04:00,15959,Room Admin,30,In
2018-01-11 13:18:00,15952,Room Admin,30,In
2018-01-11 13:36:00,15945,Room Admin,31,In
2018-01-11 13:38:00,15944,Room Admin,30,In
2018-01-11 13:42:00,15942,Room Admin,31,In
2018-01-11 14:00:00,15935,Room Admin,31,In
2018-01-11 15:40:00,15906,Room Admin,32,In
2018-01-11 15:44:00,15903,Room Admin,32,In
2018-01-11 15:52:00,15902,Room Admin,31,In
2018-01-11 15:54:00,15901,Room Admin,32,In
2018-01-11 16:14:00,15894,Room Admin,32,In
2018-01-11 16:16:00,15892,Room Admin,32,In
2018-01-11 16:50:00,15878,Room Admin,32,In
2018-01-11 16:52:00,15876,Room Admin,32,In
2018-01-11 17:04:00,15873,Room Admin,32,In
2018-01-11 17:06:00,15872,Room Admin,32,In
2018-01-11 19:53:00,15819,Room Admin,32,In
2018-01-11 19:55:00,15818,Room Admin,32,In
2018-01-11 20:23:00,15813,Room Admin,32,In
2018-01-11 20:25:00,15812,Room Admin,32,In
2018-01-11 20:29:00,15811,Room Admin,32,In
2018-01-11 20:31:00,15810,Room Admin,32,In
2018-01-11 20:37:00,15809,Room Admin,32,In
2018-01-11 20:41:00,15807,Room Admin,32,In
2018-01-11 20:43:00,15806,Room Admin,32,In
2018-01-11 23:33:00,15764,Room Admin,32,In
2018-02-11 01:31:00,15726,Room Admin,32,In
2018-02-11 01:33:00,15725,Room Admin,32,In
2018-02-11 01:39:00,15723,Room Admin,32,In
2018-02-11 01:41:00,15721,Room Admin,32,In
2018-02-11 01:47:00,15718,Room Admin,32,In
2018-02-11 02:03:00,15710,Room Admin,32,In
2018-02-11 02:05:00,15709,Room Admin,32,In
2018-02-11 02:07:00,15708,Room Admin,32,In
2018-02-11 02:09:00,15707,Room Admin,32,In
2018-02-11 02:27:00,15704,Room Admin,32,In
2018-02-11 02:55:00,15696,Room Admin,32,In
2018-02-11 03:03:00,15695,Room Admin,32,In
2018-02-11 03:05:00,15693,Room Admin,31,In
2018-02-11 03:07:00,15691,Room Admin,31,In
2018-02-11 03:09:00,15689,Room Admin,31,In
2018-02-11 03:15:00,15686,Room Admin,31,In
2018-02-11 03:25:00,15683,Room Admin,31,In
2018-02-11 03:33:00,15679,Room Admin,31,In
2018-02-11 03:41:00,15677,Room Admin,31,In
2018-02-11 03:47:00,15673,Room Admin,31,In
2018-02-11 03:50:00,15671,Room Admin,31,In
2018-02-11 03:57:00,15667,Room Admin,31,In
2018-02-11 04:01:00,15664,Room Admin,31,In
2018-02-11 04:03:00,15663,Room Admin,31,In
2018-02-11 04:05:00,15661,Room Admin,31,In
2018-02-11 04:07:00,15659,Room Admin,31,In
2018-02-11 04:28:00,15651,Room Admin,31,In
2018-02-11 04:40:00,15646,Room Admin,31,In
2018-02-11 04:59:00,15640,Room Admin,31,In
2018-02-11 05:28:00,15628,Room Admin,31,In
2018-02-11 05:42:00,15622,Room Admin,31,In
2018-02-11 05:47:00,15619,Room Admin,31,In
2018-02-11 06:50:00,15601,Room Admin,31,In
2018-02-11 07:37:00,15581,Room Admin,31,In
2018-02-11 07:41:00,15579,Room Admin,31,In
2018-02-11 07:54:00,15578,Room Admin,31,In
2018-02-11 07:56:00,15577,Room Admin,31,In
2018-02-11 08:07:00,15574,Room Admin,31,In
2018-02-11 09:28:00,15562,Room Admin,31,In
2018-02-11 10:27:00,15548,Room Admin,30,In
2018-02-11 10:36:00,15546,Room Admin,30,In
2018-02-11 11:00:00,15539,Room Admin,30,In
2018-02-11 11:05:00,15538,Room Admin,30,In
2018-02-11 11:07:00,15537,Room Admin,30,In
2018-02-11 11:28:00,15532,Room Admin,30,In
2018-02-11 11:31:00,15531,Room Admin,30,In
2018-02-11 11:34:00,15530,Room Admin,30,In
2018-02-11 11:41:00,15529,Room Admin,30,In
2018-02-11 11:59:00,15528,Room Admin,30,In
2018-02-11 12:09:00,15527,Room Admin,30,In
2018-02-11 12:15:00,15526,Room Admin,31,In
2018-02-11 12:17:00,15525,Room Admin,30,In
2018-02-11 12:19:00,15524,Room Admin,31,In
2018-02-11 13:25:00,15518,Room Admin,32,In
2018-02-11 13:27:00,15517,Room Admin,31,In
2018-02-11 13:29:00,15516,Room Admin,32,In
2018-02-11 13:37:00,15515,Room Admin,31,In
2018-02-11 13:39:00,15514,Room Admin,32,In
2018-02-11 14:51:00,15494,Room Admin,32,In
2018-02-11 14:55:00,15491,Room Admin,32,In
2018-02-11 14:57:00,15490,Room Admin,32,In
2018-02-11 17:18:00,15462,Room Admin,32,In
2018-02-11 20:12:00,15412,Room Admin,32,In
2018-02-11 22:10:00,15371,Room Admin,32,In
2018-03-09 09:20:00,95210,Room Admin,32,In
2018-03-09 09:20:00,95209,Room Admin,32,In
2018-03-09 09:20:00,95208,Room Admin,32,In
2018-03-09 09:20:00,95207,Room Admin,32,In
2018-03-09 09:20:00,95211,Room Admin,32,In
2018-03-09 09:21:00,95195,Room Admin,32,In
2018-03-09 09:21:00,95206,Room Admin,32,In
2018-03-09 09:21:00,95205,Room Admin,32,In
2018-03-09 09:21:00,95204,Room Admin,32,In
2018-03-09 09:21:00,95203,Room Admin,32,In
2018-03-09 09:21:00,95200,Room Admin,32,In
2018-03-09 09:21:00,95199,Room Admin,32,In
2018-03-09 09:21:00,95198,Room Admin,32,In
2018-03-09 09:21:00,95197,Room Admin,32,In
2018-03-09 09:21:00,95196,Room Admin,32,In
2018-03-09 09:21:00,95194,Room Admin,32,In
2018-03-09 09:22:00,95181,Room Admin,32,In
2018-03-09 09:22:00,95192,Room Admin,32,In
2018-03-09 09:22:00,95191,Room Admin,32,In
2018-03-09 09:22:00,95190,Room Admin,32,In
2018-03-09 09:22:00,95189,Room Admin,32,In
2018-03-09 09:22:00,95188,Room Admin,32,In
2018-03-09 09:22:00,95187,Room Admin,32,In
2018-03-09 09:22:00,95186,Room Admin,32,In
2018-03-09 09:22:00,95185,Room Admin,32,In
2018-03-09 09:22:00,95184,Room Admin,32,In
2018-03-09 09:22:00,95183,Room Admin,32,In
2018-03-09 09:22:00,95182,Room Admin,32,In
2018-03-09 09:22:00,95193,Room Admin,32,In
2018-03-09 09:23:00,95168,Room Admin,32,In
2018-03-09 09:23:00,95169,Room Admin,32,In
2018-03-09 09:23:00,95180,Room Admin,32,In
2018-03-09 09:23:00,95173,Room Admin,32,In
2018-03-09 09:23:00,95174,Room Admin,32,In
2018-03-09 09:23:00,95175,Room Admin,32,In
2018-03-09 09:23:00,95176,Room Admin,32,In
2018-03-09 09:23:00,95177,Room Admin,32,In
2018-03-09 09:23:00,95178,Room Admin,32,In
