noted_date,simple_id,room_id,temp,out/in
2018-10-31 14:42:00,16350,Room Admin,41,Out
2018-10-31 14:40:00,16351,Room Admin,42,Out
2018-10-31 14:38:00,16352,Room Admin,42,Out
2018-10-31 14:34:00,16353,Room Admin,42,Out
2018-10-31 14:30:00,16354,Room Admin,43,Out
2018-10-31 14:28:00,16356,Room Admin,41,Out
2018-10-31 14:22:00,16358,Room Admin,42,Out
2018-10-31 14:16:00,16360,Room Admin,42,Out
2018-10-31 14:08:00,16363,Room Admin,42,Out
2018-10-31 14:06:00,16364,Room Admin,43,Out
2018-10-31 14:00:00,16365,Room Admin,43,Out
2018-10-31 13:12:00,16366,Room Admin,44,Out
2018-10-31 13:06:00,16367,Room Admin,45,Out
2018-10-31 13:04:00,16368,Room Admin,44,Out
2018-10-31 12:48:00,16370,Room Admin,46,Out
2018-10-31 12:36:00,16372,Room Admin,45,Out
2018-10-31 12:34:00,16373,Room Admin,46,Out
2018-10-31 12:22:00,16376,Room Admin,45,Out
2018-10-31 12:20:00,16377,Room Admin,46,Out
2018-10-31 12:18:00,16378,Room Admin,46,Out
2018-10-31 12:12:00,16379,Room Admin,45,Out
2018-10-31 12:04:00,16380,Room Admin,45,Out
2018-10-31 12:02:00,16381,Room Admin,47,Out
2018-10-31 12:00:00,16382,Room Admin,46,Out
2018-10-31 11:58:00,16383,Room Admin,45,Out
2018-10-31 11:34:00,16385,Room Admin,46,Out
2018-10-31 11:32:00,16386,Room Admin,47,Out
2018-10-31 11:28:00,16387,Room Admin,45,Out
2018-10-31 11:27:00,16388,Room Admin,46,Out
2018-10-31 11:14:00,16390,Room Admin,45,Out
2018-10-31 11:01:00,16393,Room Admin,46,Out
2018-10-31 10:59:00,16394,Room Admin,45,Out
2018-10-31 10:57:00,16396,Room Admin,46,Out
2018-10-31 10:55:00,16397,Room Admin,45,Out
2018-10-31 10:53:00,16398,Room Admin,46,Out
2018-10-31 10:49:00,16400,Room Admin,45,Out
2018-10-31 10:33:00,16403,Room Admin,46,Out
2018-10-31 10:31:00,16404,Room Admin,45,Out
2018-10-31 10:29:00,16405,Room Admin,46,Out
2018-10-31 10:27:00,16407,Room Admin,46,Out
2018-10-31 10:23:00,16408,Room Admin,46,Out
2018-10-31 10:17:00,16409,Room Admin,46,Out
2018-10-31 10:16:00,16410,Room Admin,46,Out
2018-10-31 10:14:00,16411,Room Admin,45,Out
2018-10-31 10:02:00,16415,Room Admin,46,Out
2018-10-31 09:54:00,16416,Room Admin,46,Out
2018-10-31 09:52:00,16417,Room Admin,45,Out
2018-10-31 09:50:00,16418,Room Admin,46,Out
2018-10-31 09:50:00,16419,Room Admin,47,Out
2018-10-31 09:38:00,16420,Room Admin,46,Out
2018-10-31 09:36:00,16421,Room Admin,45,Out
2018-10-31 09:34:00,16422,Room Admin,44,Out
2018-10-31 09:30:00,16424,Room Admin,46,Out
2018-10-31 08:58:00,16431,Room Admin,46,Out
2018-10-31 08:56:00,16432,Room Admin,47,Out
2018-10-31 08:50:00,16434,Room Admin,46,Out
2018-10-31 08:48:00,16436,Room Admin,45,Out
2018-10-31 08:42:00,16439,Room Admin,46,Out
2018-10-31 08:36:00,16442,Room Admin,45,Out
2018-10-31 08:32:00,16444,Room Admin,46,Out
2018-10-31 08:28:00,16446,Room Admin,46,Out
2018-10-31 08:24:00,16448,Room Admin,44,Out
2018-10-31 08:20:00,16449,Room Admin,45,Out
2018-10-31 08:16:00,16451,Room Admin,45,Out
2018-10-31 08:14:00,16452,Room Admin,46,Out
2018-10-31 08:06:00,16455,Room Admin,45,Out
2018-10-31 08:02:00,16456,Room Admin,44,Out
2018-10-31 08:00:00,16457,Room Admin,45,Out
2018-10-31 07:56:00,16459,Room Admin,45,Out
2018-10-31 07:54:00,16460,Room Admin,46,Out
2018-10-31 07:46:00,16463,Room Admin,45,Out
2018-10-31 07:44:00,16464,Room Admin,44,Out
2018-10-31 07:36:00,16465,Room Admin,45,Out
2018-10-31 07:30:00,16467,Room Admin,46,Out
2018-10-31 07:28:00,16468,Room Admin,45,Out
2018-10-31 07:26:00,16469,Room Admin,46,Out
2018-10-31 07:24:00,16470,Room Admin,45,Out
2018-10-31 07:22:00,16471,Room Admin,46,Out
2018-10-31 07:16:00,16473,Room Admin,45,Out
2018-10-31 07:12:00,16474,Room Admin,44,Out
